MsgID.STATE,1527096366.7015741,False,False
MsgID.GLOBAL_POSITION,1527096379.5875421,-122.3957476,37.7932810,0.0820000
MsgID.LOCAL_VELOCITY,1527096379.5875421,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096379.5880468,-0.0561837,0.3867304,-0.0825000
MsgID.LOCAL_VELOCITY,1527096379.5880468,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527096379.7757807,False,False
MsgID.GLOBAL_HOME,1527096379.7768579,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096379.8374121,-122.3957490,37.7932791,0.0820000
MsgID.LOCAL_VELOCITY,1527096379.8374121,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096379.8398526,-0.2707110,0.2572249,-0.0825000
MsgID.LOCAL_VELOCITY,1527096379.8398526,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096380.0889812,-122.3957491,37.7932790,0.0820000
MsgID.LOCAL_VELOCITY,1527096380.0889812,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096380.0899196,-0.2790412,0.2463181,-0.0825000
MsgID.LOCAL_VELOCITY,1527096380.0899196,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096380.3390155,-122.3957493,37.7932785,0.0820000
MsgID.LOCAL_VELOCITY,1527096380.3390155,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096380.3397317,-0.3388592,0.2308478,-0.0825000
MsgID.LOCAL_VELOCITY,1527096380.3397317,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096380.5896833,-122.3957472,37.7932787,0.0820000
MsgID.LOCAL_VELOCITY,1527096380.5896833,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096380.5903628,-0.3080415,0.4181056,-0.0823299
MsgID.LOCAL_VELOCITY,1527096380.5903628,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527096380.7755456,False,False
MsgID.GLOBAL_HOME,1527096380.7778614,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096380.8390186,-122.3957460,37.7932794,0.0790000
MsgID.LOCAL_VELOCITY,1527096380.8390186,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096380.8398001,-0.2297135,0.5254663,-0.0799102
MsgID.LOCAL_VELOCITY,1527096380.8398001,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096381.0886261,-122.3957454,37.7932797,0.0710000
MsgID.LOCAL_VELOCITY,1527096381.0886261,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096381.0893040,-0.1953128,0.5811282,-0.0715439
MsgID.LOCAL_VELOCITY,1527096381.0893040,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096381.3391860,-122.3957469,37.7932801,0.0550000
MsgID.LOCAL_VELOCITY,1527096381.3391860,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096381.3398764,-0.1561197,0.4435720,-0.0551506
MsgID.LOCAL_VELOCITY,1527096381.3398764,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096381.5895000,-122.3957468,37.7932801,0.0290000
MsgID.LOCAL_VELOCITY,1527096381.5895000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096381.5896947,-0.1545222,0.4524196,-0.0293323
MsgID.LOCAL_VELOCITY,1527096381.5896947,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527096381.7747502,False,False
MsgID.GLOBAL_HOME,1527096381.7769201,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096381.8398173,-122.3957465,37.7932810,0.0010000
MsgID.LOCAL_VELOCITY,1527096381.8398173,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096381.8404779,-0.0577035,0.4825323,-0.0016277
MsgID.LOCAL_VELOCITY,1527096381.8404779,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096382.0887060,-122.3957489,37.7932808,-0.0270000
MsgID.LOCAL_VELOCITY,1527096382.0887060,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096382.0898931,-0.0844079,0.2685043,0.0276235
MsgID.LOCAL_VELOCITY,1527096382.0898931,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096382.3405511,-122.3957479,37.7932790,-0.0510000
